frame,time_seconds,mean_abs_difference,changed_fraction_ge_12
482,8.016667,0.568681,0.002847
483,8.033333,0.047847,0.0
484,8.05,0.037153,0.0
485,8.066667,0.396319,0.002361
486,8.083333,0.072431,0.0
487,8.1,0.441875,0.004931
488,8.116667,0.04,0.0
489,8.133333,0.041111,0.0
490,8.15,26.476042,0.704167
491,8.166667,0.140556,0.0
492,8.183333,2.406458,0.044375
493,8.2,0.082361,0.0
494,8.216667,0.091806,0.0
495,8.233333,2.782292,0.060764
496,8.25,0.010139,0.0
497,8.266667,2.690208,0.060278
498,8.283333,0.082222,0.0
499,8.3,2.692292,0.060972
500,8.316667,0.082361,0.0
501,8.333333,0.060347,0.0
502,8.35,2.779583,0.062986
503,8.366667,0.222083,0.0
504,8.383333,2.17625,0.044028
505,8.4,0.074931,0.0
506,8.416667,0.111181,0.0
507,8.433333,2.501458,0.054375
508,8.45,2.489444,0.044514
509,8.466667,0.121875,0.0
510,8.483333,2.586944,0.051528
511,8.5,0.153333,0.000139
512,8.516667,0.143403,0.0
513,8.533333,2.093056,0.045417
514,8.55,0.187361,0.0
515,8.566667,2.275069,0.047222
516,8.583333,0.115347,0.0
517,8.6,0.092639,0.0
518,8.616667,0.124167,0.0
519,8.633333,2.430556,0.043542
520,8.65,2.477222,0.036111
521,8.666667,0.067431,0.0
522,8.683333,2.327569,0.041806
523,8.7,0.095139,0.0
524,8.716667,0.130833,0.0
525,8.733333,2.307292,0.038958
526,8.75,0.061667,0.0
527,8.766667,2.105,0.035417
528,8.783333,0.197431,0.0
529,8.8,0.100972,0.0
530,8.816667,0.117153,0.0
531,8.833333,1.936806,0.027778
532,8.85,2.154653,0.037083
533,8.866667,0.130417,0.0
534,8.883333,1.831528,0.029167
535,8.9,0.095417,0.0
536,8.916667,0.200694,0.0
537,8.933333,0.286528,0.0
538,8.95,1.846806,0.028194
539,8.966667,2.098819,0.031111
540,8.983333,0.084861,0.0
541,9.0,0.305417,0.0
542,9.016667,0.016458,0.0
543,9.033333,0.046736,0.0
544,9.05,1.752847,0.023403
545,9.066667,1.792083,0.026806
546,9.083333,0.258125,0.000347
547,9.1,1.876111,0.02375
548,9.116667,0.20375,0.0
549,9.133333,0.216875,0.0
550,9.15,1.772431,0.027847
551,9.166667,0.164306,0.000139
552,9.183333,1.854375,0.021736
553,9.2,0.106389,0.000694
554,9.216667,0.098264,0.0
555,9.233333,0.037986,0.0
556,9.25,1.789722,0.0225
557,9.266667,1.797639,0.025486
558,9.283333,1.766736,0.019792
559,9.3,0.070069,0.000556
560,9.316667,0.127778,0.000625
561,9.333333,1.762917,0.025556
562,9.35,0.232014,0.001181
563,9.366667,1.663819,0.024931
564,9.383333,0.324514,0.00125
565,9.4,0.24875,0.001528
566,9.416667,1.668681,0.019583
567,9.433333,0.223611,0.001389
568,9.45,1.764167,0.020417
569,9.466667,0.125278,0.000764
570,9.483333,1.654514,0.023958
571,9.5,0.1575,0.000694
572,9.516667,0.072153,0.0
573,9.533333,1.794583,0.021458
574,9.55,0.095069,0.0
575,9.566667,1.75875,0.024931
576,9.583333,0.262014,0.0
577,9.6,0.180903,0.0
578,9.616667,1.6225,0.020694
579,9.633333,0.115556,0.0
580,9.65,1.762986,0.023542
581,9.666667,0.226111,0.0
582,9.683333,1.500833,0.027153
583,9.7,0.065139,0.0
584,9.716667,0.11,0.0
585,9.733333,1.6625,0.023403
586,9.75,0.317778,0.0
587,9.766667,1.528264,0.017639
588,9.783333,0.337014,6.9e-05
589,9.8,0.215139,0.0
590,9.816667,1.540764,0.016597
591,9.833333,0.197014,0.0
592,9.85,1.629653,0.021736
593,9.866667,0.164722,0.0
594,9.883333,1.422569,0.024514
595,9.9,0.099722,0.0
596,9.916667,0.189653,0.0
597,9.933333,1.526042,0.023472
598,9.95,0.342222,0.0
599,9.966667,34.876458,0.816667
600,9.983333,0.055417,0.0
601,10.0,0.184792,0.0
602,10.016667,0.092014,0.0
603,10.033333,0.093819,0.0
604,10.05,0.279306,0.0
605,10.066667,0.160208,0.0
606,10.083333,0.232083,6.9e-05
607,10.1,0.2075,0.0
608,10.116667,0.159306,0.0
609,10.133333,0.196597,0.0
610,10.15,0.140278,0.0
611,10.166667,0.256528,0.0
612,10.183333,0.055347,0.0
613,10.2,0.052361,0.0
614,10.216667,0.092847,0.0
615,10.233333,0.101875,0.0
616,10.25,0.201736,0.0
617,10.266667,0.165972,0.0
618,10.283333,0.202847,0.0
619,10.3,0.197847,0.0
620,10.316667,0.18,0.0
621,10.333333,0.192639,0.000139
622,10.35,0.144306,0.000208
623,10.366667,0.254792,0.000139
624,10.383333,0.058681,0.000139
625,10.4,0.047917,6.9e-05
626,10.416667,0.091806,0.0
627,10.433333,0.093889,0.0
628,10.45,0.180486,0.0
629,10.466667,0.157639,0.0
630,10.483333,0.168472,0.0
631,10.5,0.195556,0.0
632,10.516667,0.149792,0.0
633,10.533333,0.164653,0.0
634,10.55,0.127986,0.0
635,10.566667,0.237014,6.9e-05
636,10.583333,0.014861,0.000139
637,10.6,0.004306,0.0
638,10.616667,0.004444,6.9e-05
639,10.633333,0.000694,0.0
640,10.65,0.309931,0.002361
641,10.666667,0.190417,6.9e-05
642,10.683333,0.249861,0.000139
643,10.7,0.2175,0.0
644,10.716667,0.1825,0.0
645,10.733333,0.211806,0.000208
646,10.75,0.150903,6.9e-05
647,10.766667,0.267292,0.0
648,10.783333,0.058542,0.0
649,10.8,0.059167,0.0
650,10.816667,0.126319,6.9e-05
651,10.833333,0.079653,0.0
652,10.85,0.219236,0.0
653,10.866667,0.180208,0.0
654,10.883333,0.221042,0.0
655,10.9,0.203611,0.0
656,10.916667,0.180764,6.9e-05
657,10.933333,0.238056,0.0
658,10.95,0.141806,0.0
659,10.966667,0.304792,0.000347
660,10.983333,0.077014,0.0
661,11.0,0.202361,0.0
662,11.016667,0.159792,0.000208
663,11.033333,0.117361,0.000139
664,11.05,0.292222,0.000347
665,11.066667,0.180556,6.9e-05
666,11.083333,0.277639,0.000278
667,11.1,0.247847,0.0
668,11.116667,0.217292,0.0
669,11.133333,0.258889,0.000208
670,11.15,0.160556,0.0
671,11.166667,0.340903,0.000208
672,11.183333,0.031111,0.0
673,11.2,0.034583,0.0
674,11.216667,0.052361,0.0
675,11.233333,0.16375,0.000278
676,11.25,30.919236,0.821597
677,11.266667,0.144167,0.000139
678,11.283333,0.748472,0.001458
679,11.3,0.065,0.0
680,11.316667,0.103125,0.0
681,11.333333,0.946806,0.001181
682,11.35,0.249792,0.0
683,11.366667,0.892222,0.001181
684,11.383333,0.274375,0.0
685,11.4,0.279236,0.0
686,11.416667,0.901111,0.001111
687,11.433333,0.205556,0.0
688,11.45,1.061667,0.001806
689,11.466667,0.166389,0.0
690,11.483333,0.829375,0.001528
691,11.5,0.072361,0.0
692,11.516667,0.135208,0.0
693,11.533333,0.975417,0.001875
694,11.55,0.257083,0.0
695,11.566667,0.994653,0.002153
696,11.583333,0.274931,0.0
697,11.6,0.326806,0.0
698,11.616667,0.986597,0.001875
699,11.633333,0.237778,6.9e-05
700,11.65,1.103819,0.001597
701,11.666667,0.157083,0.0
702,11.683333,0.900903,0.002431
703,11.7,0.074375,0.0
704,11.716667,0.133889,0.0
705,11.733333,1.133542,0.003333
706,11.75,0.212083,6.9e-05
707,11.766667,0.956042,0.00125
708,11.783333,0.300903,6.9e-05
709,11.8,0.256528,0.0
710,11.816667,0.813264,0.000764
711,11.833333,0.232917,0.0
712,11.85,0.950972,0.001458
713,11.866667,0.177014,6.9e-05
714,11.883333,0.765556,0.000972
715,11.9,0.069236,6.9e-05
716,11.916667,0.128472,0.0
717,11.933333,0.92125,0.000625
718,11.95,0.234861,0.0
719,11.966667,0.825764,0.000347
720,11.983333,0.281181,0.0
721,12.0,0.35375,0.0
722,12.016667,0.774097,0.000972
723,12.033333,0.171389,0.0
724,12.05,0.921042,0.001111
725,12.066667,0.183681,0.0
726,12.083333,0.742917,0.000903
727,12.1,0.069375,0.0
728,12.116667,0.128333,0.0
729,12.133333,0.903403,0.000694
730,12.15,0.232639,0.0
731,12.166667,0.884583,0.00125
732,12.183333,0.264236,0.0
733,12.2,0.252153,0.0
734,12.216667,0.954236,0.001944
735,12.233333,0.221667,0.0
736,12.25,1.060139,0.002778
737,12.266667,0.147986,0.000139
738,12.283333,0.988958,0.003333
739,12.3,0.073056,0.000139
740,12.316667,0.123611,0.000139
741,12.333333,1.211736,0.003264
742,12.35,0.177083,6.9e-05
743,12.366667,1.075833,0.003264
744,12.383333,0.295139,0.0
745,12.4,0.257431,0.0
746,12.416667,0.976111,0.001597
747,12.433333,0.194375,0.0
748,12.45,0.972778,0.002083
749,12.466667,0.018958,0.0
750,12.483333,34.501597,0.749306
751,12.5,0.032778,0.0
752,12.516667,0.078472,0.0
753,12.533333,0.092986,6.9e-05
754,12.55,0.0775,0.0
755,12.566667,0.257847,0.0
756,12.583333,0.304514,0.002222
757,12.6,0.316944,0.002569
758,12.616667,0.359167,0.001875
759,12.633333,0.21375,0.001458
760,12.65,0.239792,0.001389
761,12.666667,0.180278,0.000694
762,12.683333,0.278542,0.000625
763,12.7,0.101875,0.0
764,12.716667,0.100486,0.0
765,12.733333,0.143125,0.000139
766,12.75,0.147569,0.0
767,12.766667,0.118472,0.0
768,12.783333,0.131042,0.000486
769,12.8,0.109167,0.0
770,12.816667,0.139167,0.0
771,12.833333,0.236597,0.000625
772,12.85,0.193125,0.0
773,12.866667,0.230972,0.000764
774,12.883333,0.270833,0.0
775,12.9,0.239306,0.000694
776,12.916667,0.204722,0.0
777,12.933333,0.245833,0.000833
778,12.95,0.274931,0.0
779,12.966667,0.229444,0.000833
780,12.983333,0.214236,0.0
781,13.0,0.321042,6.9e-05
782,13.016667,0.290764,0.001389
783,13.033333,0.200278,0.000278
784,13.05,0.265625,0.000833
785,13.066667,0.189167,6.9e-05
786,13.083333,0.352222,0.001042
787,13.1,0.096597,0.0
788,13.116667,0.104722,0.0
789,13.133333,0.179792,0.000833
790,13.15,0.163819,0.0
791,13.166667,0.315278,0.001111
792,13.183333,0.212847,0.0
793,13.2,0.186597,0.0
794,13.216667,0.407778,0.001111
795,13.233333,0.199583,0.0
796,13.25,0.278681,0.001042
797,13.266667,0.186042,0.0
798,13.283333,0.378542,0.000972
799,13.3,0.079514,0.0
800,13.316667,0.118472,0.0
801,13.333333,0.211111,0.000972
802,13.35,0.175625,0.0
803,13.366667,0.292778,0.001181
804,13.383333,0.215972,0.0
805,13.4,0.196458,0.0
806,13.416667,0.39625,0.001181
807,13.433333,0.208194,0.0
808,13.45,0.303333,0.000972
809,13.466667,0.192083,0.0
810,13.483333,0.391042,0.001042
811,13.5,0.087986,6.9e-05
812,13.516667,0.129792,0.0
813,13.533333,0.21125,0.001111
814,13.55,0.173681,0.0
815,13.566667,0.354028,0.001597
816,13.583333,0.210694,0.0
817,13.6,0.191806,0.0
818,13.616667,0.393889,0.001389
819,13.633333,0.199861,0.000139
820,13.65,0.311389,0.001736
821,13.666667,0.171806,0.0
822,13.683333,0.405694,0.001458
823,13.7,0.022639,0.0
824,13.716667,0.025486,0.0
825,13.733333,48.491875,0.799514
826,13.75,0.065278,0.0
827,13.766667,0.089653,0.0
828,13.783333,0.06875,0.0
829,13.8,0.088681,0.0
830,13.816667,0.285764,0.0
831,13.833333,0.057153,0.0
832,13.85,0.155069,0.0
833,13.866667,0.178472,0.0
834,13.883333,0.204653,0.0
835,13.9,0.159167,0.0
836,13.916667,0.167569,0.0
837,13.933333,0.234028,0.0
838,13.95,0.1075,0.000139
839,13.966667,0.12375,0.000139
840,13.983333,0.087431,0.0
841,14.0,0.298125,0.0
842,14.016667,0.147014,0.0
843,14.033333,0.225069,0.0
844,14.05,0.209167,6.9e-05
845,14.066667,0.085486,0.000139
846,14.083333,0.098333,0.000139
847,14.1,0.124931,0.000139
848,14.116667,0.142222,0.000139
849,14.133333,0.182639,6.9e-05
850,14.15,0.134583,0.000278
851,14.166667,0.089514,0.000278
